name,price,rating,ac_type,capacity,features
Blue Star ID518GNURS 1.5 Ton 4 Star 2026 Inverter Split AC,"₹40,490",--rating: 4.7;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter']"
Blue Star IA318TXU 1.5 Ton 3 Star 2026 Inverter Split AC,"₹37,990",--rating: 4.4;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
LG AS-Q18HWXE 1.5 Ton 3 Star 2026 Inverter Split AC,"₹37,490",--rating: 4.5;,Split AC,1.5 Ton Capacity,"['Digital Panel Display', '4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter']"
Daikin MTKU42UV16U 1.2 Ton 5 Star 2025 Inverter Split AC,"₹35,490",--rating: 4.45;,Split AC,1.2 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis', 'Auto Clean']"
Voltas 185INV Vectra Emerald 1.5 Ton 5 Star 2026 Inverter Split AC,"₹44,800",--rating: 4.15;,Split AC,1.5 Ton Capacity,"['Hidden Panel Display', '2-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Memory Feature']"
Blue Star IA518VXUS 1.5 Ton 5 Star 2026 Inverter Split AC,"₹47,190",--rating: 4.2;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter']"
Daikin FTKM50XV16 1.5 Ton 5 Star Inverter Split AC,"₹50,990",--rating: 4.2;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis']"
Lloyd GLS18I3AGGSC 1.5 Ton 3 Star 2026 Inverter Split AC,"₹33,489",--rating: 4.25;,Split AC,1.5 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Auto Clean']"
MITSUBISHI RAM-AE22VG 1.8 Ton 2 Star Split AC,"₹47,829",--rating: 4.25;,Split AC,1.8 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis', '2 Star Rating']"
Onida IR195GLC 1.5 Ton 5 Star Inverter Split AC,"₹32,990",--rating: 4.6;,Split AC,1.5 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', '5 Star Rating', '100% Grooved Copper Condenser Coil']"
MITSUBISHI DXK18YAMDA-W 1.5 Ton 3 Star 2026 Inverter Split AC,"₹59,090",--rating: 4;,Split AC,1.5 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature', 'Auto Clean']"
Blue Star IA318MXU 1.5 Ton 3 Star 2026 Inverter Split AC,"₹39,990",--rating: 4.5;,Split AC,1.5 Ton Capacity,"['Hidden Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter, HEPA Filter', 'Self Diagnosis']"
Panasonic CS/CU-EU18CKY5XFM 1.5 Ton 5 Star 2026 Inverter Split AC,"₹47,890",--rating: 4.15;,Split AC,1.5 Ton Capacity,"['Hidden Panel Display', '4-Way Air Swing, Auto Restart', 'Wi-Fi Connectivity, APP Control, Voice Control', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter']"
MarQ by Flipakart 103IPG25WQV2 1 Ton 3 Star 2025 Inverter Split AC,"₹21,990",--rating: 4.15;,Split AC,1 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis, Memory Feature', 'Night Glow Buttons']"
Hitachi Ikasu 5400FXL 1.5 Ton 5 Star 2023 Inverter Split AC,"₹28,990",--rating: 4.35;,Split AC,1.5 Ton Capacity,"['Hidden Panel Display', 'Air Swing, Auto Restart', 'Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Night Glow Buttons']"
Blue Star IA318EXU 1.5 Ton 3 Star 2026 Inverter Split AC,"₹37,190",--rating: 4.1;,Split AC,1.5 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis']"
MarQ by Flipakart 105IPG26WQ 1 Ton 5 Star 2026 Inverter Split AC,"₹27,490",--rating: 4.35;,Split AC,1 Ton Capacity,"['LED Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
Panasonic CS/CU-EU18CKY3XFH 1.5 Ton 3 Star 2026 Inverter Split AC,"₹41,990",--rating: 4.35;,Split AC,1.5 Ton Capacity,"['Hidden Panel Display', '4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis']"
LG AS-Q19MNXE 1.5 Ton 3 Star 2026 Inverter Split AC,"₹40,990",--rating: 4.3;,Split AC,1.5 Ton Capacity,"['4-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Night Glow Buttons']"
Godrej HIC 18Q3TH 1.5 Ton 3 Star 2026 Inverter Split AC,"₹31,790",--rating: 4.1;,Split AC,1.5 Ton Capacity,"['Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter', 'Self Diagnosis', 'Auto Clean']"
Carrier CAI18EE3R36F1 1.5 Ton 3 Star 2026 Inverter Split AC,"₹36,490",--rating: 4.25;,Split AC,1.5 Ton Capacity,"['Digital LED Panel Display', '2-Way Air Swing, Auto Restart', 'Dehumidification, Inverter', 'Sleep Mode', 'Dust Filter, PM 2.5 Filter', 'Self Diagnosis, Memory Feature']"
Blue Star WFA312LXU 1 Ton 3 Star 2026 Window AC,"₹29,990",--rating: 4.35;,Window AC,1 Ton Capacity,"['LED Panel Display', '2-Way Air Swing, Auto Restart', 'Dehumidification', 'Turbo Mode, Sleep Mode', 'Dust Filter', 'Self Diagnosis, Memory Feature']"
