,price,rating,n_features,brand_name,capacity_value,capacity_unit,star_rating,has_star_rating,has_inverter,has_wifi,has_voice_control,has_app_control,smart_connectivity_score,ac_split,ac_window,ac_pm25_filter,ac_hepa_filter,ac_auto_clean,ac_hot_and_cold,ac_copper_condenser,ac_Dehumidification,ac_Turbo Mode,ac_Self Diagnosis,ref_single_door,ref_multi_door,ref_chest_freezer,ref_side_door,ref_french_door,ref_double_door,ref_triple_door,ref_frost_free,ref_convertible,ref_door_alarm,ref_door_lock,ref_dispenser,ref_door_display,ref_mini,wm_fully_automatic,wm_semi_automatic,wm_with_dryer,wm_washer_only,wm_dryer_only,wm_front_load,wm_top_load,wm_inbuilt_heater,wm_quick_wash,wm_ss_tub,wm_child_lock,wm_shock_proof,wm_display,log_price,capacity_sq,n_features_sq,rating_sq,capacity_n_features,capacity_rating,rating_n_features,smart_intensity,ac_premium_features,ref_door_complexity,wm_tech_level,features_above_avg,rating_above_avg,capacity_above_avg,brand_frequency,category_Refrigerator,category_WashingMachine,_category_backup
23,47490,4.05,13,blue star,1.5,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.768295498386117,2.25,169,16.4025,19.5,6.074999999999999,52.65,6,0,0,0,2.0416253716551047,-0.3267591674925665,0.054192269573835494,165,False,False,AC
24,46790,4.55,12,voltas,1.5,Ton,5.0,1,1,1,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.753446155719935,2.25,144,20.702499999999997,18.0,6.824999999999999,54.599999999999994,4,0,0,0,1.0416253716551047,0.1732408325074335,0.054192269573835494,218,False,False,AC
25,48990,4.1,13,haier,1.6,Ton,5.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79939188675334,2.5600000000000005,169,16.81,20.8,6.56,53.3,6,0,0,0,2.0416253716551047,-0.2767591674925667,0.15419226957383558,309,False,False,AC
26,40990,4.55,11,daikin,1.5,Ton,4.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.621107809394994,2.25,121,20.702499999999997,16.5,6.824999999999999,50.05,0,0,0,0,0.041625371655104715,0.1732408325074335,0.054192269573835494,66,False,False,AC
27,37990,4.05,11,daikin,1.5,Ton,3.0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54510456855174,2.25,121,16.4025,16.5,6.074999999999999,44.55,0,0,0,0,0.041625371655104715,-0.3267591674925665,0.054192269573835494,66,False,False,AC
28,44891,4.2,10,hitachi,1.5,Ton,5.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.712014884136147,2.25,100,17.64,15.0,6.300000000000001,42.0,0,0,0,0,-0.9583746283448953,-0.17675916749256615,0.054192269573835494,69,False,False,AC
29,25990,4.6,11,samsung,1.0,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.165505603232393,1.0,121,21.159999999999997,11.0,4.6,50.599999999999994,0,0,0,0,0.041625371655104715,0.22324083250743332,-0.4458077304261645,268,False,False,AC
30,40490,4.7,12,blue star,1.5,Ton,4.0,1,1,1,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.608835006177392,2.25,144,22.090000000000003,18.0,7.050000000000001,56.400000000000006,4,0,0,0,1.0416253716551047,0.32324083250743385,0.054192269573835494,165,False,False,AC
31,37990,4.4,11,blue star,1.5,Ton,3.0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.54510456855174,2.25,121,19.360000000000003,16.5,6.6000000000000005,48.400000000000006,0,0,0,0,0.041625371655104715,0.02324083250743403,0.054192269573835494,165,False,False,AC
32,37490,4.5,12,lg,1.5,Ton,3.0,1,1,1,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.531856183153893,2.25,144,20.25,18.0,6.75,54.0,6,0,0,0,1.0416253716551047,0.12324083250743367,0.054192269573835494,261,False,False,AC
