brand,model_year,product,price,rating,ac_type,capacity,Dehumidification,Turbo Mode,Air Swing,Self Diagnosis,Memory Feature,LED Panel Display,Night Glow Buttons,Wi-Fi Connectivity,APP Control,Auto Clean,Hidden Panel Display,Voice Control,PM 2.5 Filter,inverter,star_rating
Blue Star,2026,AC,38990,4.0,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2
Blue Star,2026,AC,33490,4.05,Window,1.5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3
LG,2026,AC,49990,4.65,Split,1.5,1,1,1,1,0,0,1,0,0,0,0,0,0,1,5
Lloyd,2025,AC,33899,4.0,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Godrej,2026,AC,32990,4.25,Split,1.5,1,0,1,1,1,0,0,0,0,1,0,0,0,1,4
Godrej,2025,AC,29490,4.25,Split,1.5,1,0,1,1,0,0,1,0,0,0,0,0,0,1,3
Lloyd,2024,AC,31790,4.35,Split,1.5,1,1,1,1,0,0,0,0,0,0,0,0,1,1,3
Blue Star,2026,AC,50990,4.05,Split,2.0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,3
Lloyd,2025,AC,33990,4.6,Split,1.0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Lloyd,2025,AC,33950,4.2,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Lloyd,2025,AC,35890,4.05,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Whirlpool,2026,AC,28499,4.55,Split,1.5,1,0,1,0,0,0,0,0,0,1,0,0,0,1,3
Voltas,2026,AC,53990,4.45,Split,1.5,1,1,1,0,1,0,0,0,0,1,0,0,0,1,5
Haier,2026,AC,36990,4.65,Split,1.0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
Lloyd,2026,AC,39850,4.35,Window,1.5,1,0,1,0,0,1,0,1,1,0,0,1,0,1,5
Lloyd,2026,AC,56990,4.5,Split,2.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5
LG,2026,AC,37690,4.65,Split,1.5,1,0,0,1,1,0,0,0,0,0,0,0,0,1,3
Daikin,2026,AC,43990,4.25,Split,1.0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,5
Daikin,2026,AC,37490,4.65,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,1,1,3
Carrier,2026,AC,46989,4.6,Split,1.5,1,0,1,1,1,0,0,1,1,0,0,1,1,1,5
Blue Star,2026,AC,37989,4.5,Split,1.0,1,1,1,1,0,0,0,1,1,0,0,1,0,1,5
Panasonic,2026,AC,56490,4.75,Split,2.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,3
Samsung,2026,AC,36489,4.6,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,1,0,1,3
Hisense,2025,AC,25990,4.3,Split,1.0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,3
Carrier,2026,AC,34490,4.75,Split,1.5,1,0,0,1,1,0,0,0,0,0,0,0,1,1,3
Daikin,2025,AC,43990,4.45,Split,1.5,1,0,1,1,0,0,0,0,0,0,0,0,0,1,5
Lloyd,2025,AC,39999,4.75,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
Lloyd,2025,AC,36890,4.25,Window,1.5,0,1,1,1,1,1,0,1,1,0,0,1,0,1,5
Voltas,2025,AC,31490,4.75,Split,1.5,1,1,1,0,1,0,0,0,0,0,0,0,0,1,3
Blue Star,2025,AC,23290,4.0,Window,0.75,1,1,1,1,1,1,0,0,0,0,0,0,0,0,3
Panasonic,2025,AC,31990,4.4,Split,1.0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,5
Voltas,,AC,39990,4.1,Split,1.5,1,1,1,0,0,0,0,1,1,0,0,0,0,1,5
Voltas,2022,AC,26890,4.35,Window,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,3
MarQ,2026,AC,26990,4.1,Split,1.5,1,1,1,1,0,1,0,0,0,0,0,0,0,1,3
Panasonic,2026,AC,71990,4.75,Split,2.0,1,0,1,0,0,0,0,1,1,0,1,1,0,1,5
